"MCQ","Arya samaj was founded by","Indira Gandhi","Lala lajpat Rai","Dayana Saraswati","Derozio",,"Dayana Saraswati",
"MCQ","The two sect of Buddhism are:","Mahayana and Hinayana","Swetamber  and Digamber","ram and Rahim","Ramayana and Mahabharata",,"Mahayana and Hinayana",
"MCQ","The holy book of the Parsis is :","Gita","Upanishad","purana","Zend Avesta",,"Zend Avesta",
"MCQ","Which is the oldest of the Vedas","Sama veda ","Atharva Veda","Rig veda","Yajur Veda",,"Rig veda",
"MCQ","Bhagawad Gita is a part of  the great epic","Shakuntalam","Beowulf","Ramayana","Mahabharata",,"Mahabharata",
"MCQ","The real name of Gautama Buddha was ","Rahul","Vikram","Siddhartha","Swami",,"Siddhartha",
"MCQ","The song Vande Mataram is written by ","Bankim Chandra","Rabindra Nath Tagore","Ram Mohan Roy","Sarat Chandra",,"Bankim Chandra",
"MCQ","The old name for Patna  was","Ujjain","Patliputra","koshambi","Gaya",,"Patliputra",
"MCQ","Which personality is linked with the revolt of 1857","Mother Teresa","Mahatma Gandhi","Mangal Pandey","Lord Curzon",,"Mangal Pandey",
"MCQ","Sita mata belonged to","Mithila","Pipliya","Commila","Mangliya",,"Mithila",
"MCQ","Our national Anthem is written by","Naushad","Sarat Chandra ","Rabindranath Tagore ","Bankim Chandra",,"Rabindranath Tagore ",
"MCQ","If Dal bati belongs to Rajasthan, then Rossogolla belongs to-","Assam","Tripura","Bengal","Bihar",,"Bengal",
"MCQ","if Bharatnatyam belongs to Tamil Nadu , then Bihu belongs to","kashmir","kanyakumari","Assam","Tripura",,"Assam",
"MCQ","Diwali is the festival of ___","Light","Kite","Mite","Night",,"Light",
"MCQ","Ganga originates  from","Yamunotri","Gangotri","Mansarovar","Amarkantak",,"Gangotri",
"MCQ","If Bombay is to Mumbai then Calcutta is to","Sutanoti","kalyani","Kolkata ","Sealdah",,"Kolkata ",
"MCQ","Dandia belongs to which state","Punjab","Gujarat","Tamil Nadu","Maharashtra",,"Gujarat",
"MCQ","Rath Yatra in Puri is celebrated in honour of","Bramha","Vishnu","Maheshswar","Jagannath",,"Jagannath",
"MCQ","Victoria Memorial is situated in ","Kolkata","Tikamgarh","Gwalior ","Delhi",,"Kolkata",
"MCQ","Tansen belonged to","Ujjain","Dwarka","Nasik","Gwalior",,"Gwalior",
"MCQ","King Vikramaditya was the ruler of ","kalinga","Koshala","Champa","Ujjain",,"Ujjain",
"MCQ","The painting in the Ajanta caves depict","Mahabharata","Jataka","Purana","Ramayana",,"Jataka",
"MCQ","Geet Govindam is written by","Raidas","Tulsidas","Valmika","Jaidev",,"Jaidev",
"MCQ","Fa-hien was a ","Japanese Traveller","Lebanese Traveller","Chinese Traveller","Korean Traveller",,"Korean Traveller",
"MCQ","Rama is the Avtar of ","Shiva","Vishnu","Bramha","Maheshwar",,"Vishnu",
"MCQ","Khakra,Fafra, Dhokla belongs to","Rajasthan","Gujrat","Madhya Pradesh","Goa",,"Gujrat",
"MCQ","Makar Sankranti is generally celebrated in the time of","Summer","Autum","Winter","Spring",,"Winter",
"MCQ","Mahakaleshswar is situated in","Ujjain","Omkareshwar","Nashik","Moradabad",,"Ujjain",
"MCQ","Haji Ali is situated in","Kolkata","Mumbai","Madras","Bangalore",,"Mumbai",
"MCQ","Ashoka started following his policy of Ahimsa after the battle of ","Panipat","Lalghati","Haldighati","Kalinga",,"Kalinga",
"MCQ","Ashoka was a disciple of ","Mahavira","Birbal","Chanakya","Gautama  Buddha",,"Gautama  Buddha",
"MCQ","Kautilya was also known as ","Gautama.","Chanakya","Chandragupta","Vikramaditya",,"Chanakya",
"MCQ","Harappa and Mohenjo-Daro is one of the part of  the","Indus Valley Civilization","Greek civilization","Roman civilization","Maya Civilization",,"Indus Valley Civilization",
